station_id,name,latitude,longitude,station_type,transport_type,public_transport,transport_category
2367279133,Windpark Horst,53.4653577,10.2615407,bus_stop,bus,platform,bus
2368696391,Bauerberg,53.5498678,10.0794074,stop_position,stop_position,stop_position,bus
2368696396,Bauerberg,53.5504605,10.0779497,stop_position,stop_position,stop_position,bus
2368846789,Billstedter Hauptstraße,53.5411352,10.0989865,stop_position,stop_position,stop_position,bus
2368875078,Boberg,53.5142269,10.1673647,stop_position,stop_position,stop_position,bus
2368919850,Grandkoppel,53.503655,10.1917962,stop_position,stop_position,stop_position,bus
2368919853,BG Klinikum Boberg,53.5073406,10.1805706,stop_position,stop_position,stop_position,bus
2369029275,Lohbrügger Kirchstraße,53.4989345,10.2024,stop_position,stop_position,stop_position,bus
2371510450,Riepenburg,53.4023871,10.2050324,bus_stop,bus,platform,bus
2371910320,"Ahrensburg, Waldemar-Bonsels-Weg",53.672503,10.2197403,bus_stop,bus,platform,bus
2372770567,Alte Schule Seefeld,53.4439709,10.1643268,bus_stop,bus,platform,bus
2372770568,Alte Schule Seefeld,53.4440217,10.1643884,bus_stop,bus,platform,bus
2372770570,Hitscherberg,53.4375813,10.1969615,bus_stop,bus,platform,bus
2375530298,Eichholzfelder Deich,53.4792756,10.0911969,bus_stop,bus,platform,bus
2375530299,Goseburg,53.4716363,10.1043271,bus_stop,bus,platform,bus
2375530300,Heinrich-Osterath-Straße (Mitte),53.4551547,10.1478292,bus_stop,bus,platform,bus
2375530301,Heinrich-Osterath-Straße (Mitte),53.4552322,10.1477136,bus_stop,bus,platform,bus
2375530302,Ochsenwerder Kirche,53.4766041,10.0845886,bus_stop,bus,platform,bus
2375530303,Ochsenwerder Mühlenweg,53.4783578,10.0988923,bus_stop,bus,platform,bus
2375530304,Ochsenwerder Norderdeich 320,53.4613274,10.1305205,bus_stop,bus,platform,bus
2375530305,Ochsenwerder Norderdeich 220,53.4654978,10.1130769,bus_stop,bus,platform,bus
2375530306,Oortkatenweg (Nord),53.4640188,10.1219104,bus_stop,bus,platform,bus
2375530307,Oortkatenweg (Nord),53.4639608,10.1195633,bus_stop,bus,platform,bus
2375530333,Reitdeich,53.4751456,10.1019553,bus_stop,bus,platform,bus
2375530334,Seefelder Fischteiche,53.4512183,10.1569714,bus_stop,bus,platform,bus
2375530335,Seefelder Fischteiche,53.4512741,10.157049,bus_stop,bus,platform,bus
2377149147,Lufthansa Carpool / Geschäftsfliegerzentrum (GAT),53.6220841,9.9996224,bus_stop,bus,platform,bus
2377149272,Einfahrt Wache,53.6218811,10.0003472,bus_stop,bus,platform,bus
2377149709,Parkhaus P 9,53.6201618,10.0001878,bus_stop,bus,platform,bus
2377167304,Strukturbauteile Werkstatt,53.6186643,9.9826245,bus_stop,bus,platform,bus
2377167405,VIP Hangar 5/6,53.6202942,9.9831294,bus_stop,bus,platform,bus
2377167595,Triebwerküberholung,53.6203228,9.9861013,bus_stop,bus,platform,bus
2377167783,Logistik,53.6216528,9.9899905,bus_stop,bus,platform,bus
2377167784,Logistik,53.621481,9.9893575,bus_stop,bus,platform,bus
2377168033,Reisemarkt,53.6217673,9.9928014,bus_stop,bus,platform,bus
2377168645,Reisemarkt,53.6218978,9.9929999,bus_stop,bus,platform,bus
2377169643,Haupteingang,53.6217577,9.9964372,bus_stop,bus,platform,bus
2377460849,Karlshöhe,53.6230178,10.1111581,bus_stop,bus,platform,bus
2378114778,"Ulzburg, An der Pinnau",53.7847096,9.9767291,stop_position,stop_position,stop_position,bus
2383793015,Lehfeld,53.4803298,10.207709,stop_position,stop_position,stop_position,bus
2384054331,Geutensweg,53.4723385,9.8393254,bus_stop,bus,platform,bus
2384054332,Grundheide,53.4645859,9.8551486,bus_stop,bus,platform,bus
2384054357,Grundheide,53.4642621,9.8551765,stop_position,stop_position,stop_position,bus
2384054371,Ringheide,53.462039,9.8545997,bus_stop,bus,platform,bus
2384054380,Rostweg,53.4717252,9.8331508,bus_stop,bus,platform,bus
2385545554,"Daerstorf, Holzweg",53.4378457,9.8054035,bus_stop,bus,platform,bus
2385545555,"Elstorf, Fliegenmoor",53.4278605,9.7816004,bus_stop,bus,platform,bus
2385545556,"Elstorf, Fliegenmoor",53.4279162,9.7815461,bus_stop,bus,platform,bus
2385545557,"Elstorf, Kirche",53.4246703,9.7888451,bus_stop,bus,platform,bus
2388979339,Großlohe,53.6026595,10.1819694,bus_stop,bus,platform,bus
2388979340,Hoffmannstieg,53.6030001,10.179472,bus_stop,bus,platform,bus
2388979536,"Stapelfeld, Am Schwartenreeten",53.6052795,10.2002826,bus_stop,bus,platform,bus
2388979537,"Stapelfeld, Heinrich-Ruge-Straße",53.6051916,10.2093354,bus_stop,bus,platform,bus
2390361189,"Hetlingen, Schulstraße",53.6079132,9.6347584,bus_stop,bus,platform,bus
2390549716,Lufthansa-Basis (Haupteingang),53.6211997,9.9967592,bus_stop,bus,platform,bus
2390549717,Haynstraße,53.5860585,9.9830505,stop_position,stop_position,stop_position,bus
2390549718,Haynstraße,53.5862568,9.9833018,stop_position,stop_position,stop_position,bus
2390549720,Bezirksamt Hamburg-Nord,53.5905462,9.9874048,stop_position,stop_position,stop_position,bus
2390549721,U Lattenkamp,53.6000731,9.9950608,stop_position,stop_position,stop_position,bus
2390549722,Orchideenstieg,53.6027284,9.9904788,stop_position,stop_position,stop_position,bus
2390549723,Orchideenstieg,53.6022899,9.9918387,stop_position,stop_position,stop_position,bus
2390549724,Rosenbrook,53.6042909,9.9852181,stop_position,stop_position,stop_position,bus
2390549725,Köppenstraße,53.6070816,9.9789083,stop_position,stop_position,stop_position,bus
2390549726,Warnckesweg,53.610889,9.9742401,stop_position,stop_position,stop_position,bus
2390549727,Spreenende,53.6122809,9.9733577,stop_position,stop_position,stop_position,bus
2390549729,Spreenende,53.6128535,9.9746861,stop_position,stop_position,stop_position,bus
2390549730,Am Licentiatenberg,53.6141431,9.9835833,stop_position,stop_position,stop_position,bus
2390549731,Paeplowstieg,53.6154555,9.9857591,stop_position,stop_position,stop_position,bus
2390549732,Paeplowstieg,53.6163382,9.987269,stop_position,stop_position,stop_position,bus
2390969011,Rathaus Stellingen,53.5926208,9.9346069,stop_position,stop_position,stop_position,bus
2390969016,Rathaus Stellingen,53.5927146,9.9351757,stop_position,stop_position,stop_position,bus
2390969019,Schillingsbekweg,53.594785,9.9478963,stop_position,stop_position,stop_position,bus
2390969022,Informatikum,53.5977262,9.9317237,stop_position,stop_position,stop_position,bus
2390969023,Oddernskamp,53.5985433,9.9514268,stop_position,stop_position,stop_position,bus
2390969025,Oddernskamp,53.5988188,9.9535618,stop_position,stop_position,stop_position,bus
2390969026,Behrmannplatz,53.5991402,9.9574442,stop_position,stop_position,stop_position,bus
